name,url,team
Brandon Boston Jr.,https://www.espn.com/nba/player/gamelog/_/id/4432162/brandon-boston-jr,LAC
Amir Coffey,https://www.espn.com/nba/player/gamelog/_/id/4066387/amir-coffey,LAC
Wenyen Gabriel,https://www.espn.com/nba/player/gamelog/_/id/4066264/wenyen-gabriel,LAC
Paul George,https://www.espn.com/nba/player/gamelog/_/id/4251/paul-george,LAC
Isaiah Hartenstein,https://www.espn.com/nba/player/gamelog/_/id/4222252/isaiah-hartenstein,LAC
Serge Ibaka,https://www.espn.com/nba/player/gamelog/_/id/3439/serge-ibaka,LAC
Reggie Jackson,https://www.espn.com/nba/player/gamelog/_/id/6443/reggie-jackson,LAC
Keon Johnson,https://www.espn.com/nba/player/gamelog/_/id/4432192/keon-johnson,LAC
Luke Kennard,https://www.espn.com/nba/player/gamelog/_/id/3913174/luke-kennard,LAC
Kawhi Leonard,https://www.espn.com/nba/player/gamelog/_/id/6450/kawhi-leonard,LAC
Terance Mann,https://www.espn.com/nba/player/gamelog/_/id/3907823/terance-mann,LAC
Xavier Moon,https://www.espn.com/nba/player/gamelog/_/id/3914075/xavier-moon,LAC
Marcus Morris Sr.,https://www.espn.com/nba/player/gamelog/_/id/6462/marcus-morris-sr,LAC
Jason Preston,https://www.espn.com/nba/player/gamelog/_/id/4397916/jason-preston,LAC
Jay Scrubb,https://www.espn.com/nba/player/gamelog/_/id/4683023/jay-scrubb,LAC
Justise Winslow,https://www.espn.com/nba/player/gamelog/_/id/3135047/justise-winslow,LAC
Ivica Zubac,https://www.espn.com/nba/player/gamelog/_/id/4017837/ivica-zubac,LAC
Carmelo Anthony,https://www.espn.com/nba/player/gamelog/_/id/1975/carmelo-anthony,LAL
Trevor Ariza,https://www.espn.com/nba/player/gamelog/_/id/2426/trevor-ariza,LAL
Kent Bazemore,https://www.espn.com/nba/player/gamelog/_/id/6637/kent-bazemore,LAL
Avery Bradley,https://www.espn.com/nba/player/gamelog/_/id/4240/avery-bradley,LAL
Anthony Davis,https://www.espn.com/nba/player/gamelog/_/id/6583/anthony-davis,LAL
Sekou Doumbouya,https://www.espn.com/nba/player/gamelog/_/id/4423314/sekou-doumbouya,LAL
Wayne Ellington,https://www.espn.com/nba/player/gamelog/_/id/3981/wayne-ellington,LAL
Talen Horton-Tucker,https://www.espn.com/nba/player/gamelog/_/id/4396991/talen-horton-tucker,LAL
Dwight Howard,https://www.espn.com/nba/player/gamelog/_/id/2384/dwight-howard,LAL
LeBron James,https://www.espn.com/nba/player/gamelog/_/id/1966/lebron-james,LAL
Stanley Johnson,https://www.espn.com/nba/player/gamelog/_/id/3134881/stanley-johnson,LAL
Mason Jones,https://www.espn.com/nba/player/gamelog/_/id/4395704/mason-jones,LAL
DeAndre Jordan,https://www.espn.com/nba/player/gamelog/_/id/3442/deandre-jordan,LAL
Malik Monk,https://www.espn.com/nba/player/gamelog/_/id/4066262/malik-monk,LAL
Kendrick Nunn,https://www.espn.com/nba/player/gamelog/_/id/3056247/kendrick-nunn,LAL
Austin Reaves,https://www.espn.com/nba/player/gamelog/_/id/4066457/austin-reaves,LAL
Russell Westbrook,https://www.espn.com/nba/player/gamelog/_/id/3468/russell-westbrook,LAL
Deandre Ayton,https://www.espn.com/nba/player/gamelog/_/id/4278129/deandre-ayton,PHX
Paris Bass,https://www.espn.com/nba/player/gamelog/_/id/3062842/paris-bass,PHX
Bismack Biyombo,https://www.espn.com/nba/player/gamelog/_/id/6427/bismack-biyombo,PHX
Devin Booker,https://www.espn.com/nba/player/gamelog/_/id/3136193/devin-booker,PHX
Mikal Bridges,https://www.espn.com/nba/player/gamelog/_/id/3147657/mikal-bridges,PHX
Jae Crowder,https://www.espn.com/nba/player/gamelog/_/id/6581/jae-crowder,PHX
Justin Jackson,https://www.espn.com/nba/player/gamelog/_/id/3138156/justin-jackson,PHX
Cameron Johnson,https://www.espn.com/nba/player/gamelog/_/id/3138196/cameron-johnson,PHX
Frank Kaminsky,https://www.espn.com/nba/player/gamelog/_/id/2579294/frank-kaminsky,PHX
JaVale McGee,https://www.espn.com/nba/player/gamelog/_/id/3452/javale-mcgee,PHX
Abdel Nader,https://www.espn.com/nba/player/gamelog/_/id/2595435/abdel-nader,PHX
Chris Paul,https://www.espn.com/nba/player/gamelog/_/id/2779/chris-paul,PHX
Cameron Payne,https://www.espn.com/nba/player/gamelog/_/id/3064230/cameron-payne,PHX
Elfrid Payton,https://www.espn.com/nba/player/gamelog/_/id/2583639/elfrid-payton,PHX
Dario Saric,https://www.espn.com/nba/player/gamelog/_/id/3032978/dario-saric,PHX
Landry Shamet,https://www.espn.com/nba/player/gamelog/_/id/3914044/landry-shamet,PHX
Jalen Smith,https://www.espn.com/nba/player/gamelog/_/id/4397189/jalen-smith,PHX
